,object,LocationX,LocationY,LocationZ,RotationX,RotationY,RotationZ
0,objet,0.0,0.0,0.0,0,0,0
1,cam1,0.0,-5.0,2.4999999999999996,60,0,0
2,cam2,2.4999999999999996,-4.330127018922194,2.4999999999999996,60,0,30
3,cam3,4.330127018922194,-2.4999999999999996,2.4999999999999996,60,0,60
4,cam4,5.0,0.0,2.4999999999999996,60,0,90
5,cam5,4.330127018922194,2.4999999999999996,2.4999999999999996,60,0,120
6,cam6,2.4999999999999996,4.330127018922194,2.4999999999999996,60,0,150
7,cam7,0.0,5.0,2.4999999999999996,60,0,180
8,cam8,-2.4999999999999996,4.330127018922194,2.4999999999999996,60,0,210
9,cam9,-4.330127018922194,2.4999999999999996,2.4999999999999996,60,0,240
10,cam10,-5.0,0.0,2.4999999999999996,60,0,270
11,cam11,-4.330127018922194,-2.4999999999999996,2.4999999999999996,60,0,300
12,cam12,-2.4999999999999996,-4.330127018922194,2.4999999999999996,60,0,330
